"atleta_id","nome","apelido"
42234,"Cássio Ramos","Cássio"
42330,"Felipe Garcia dos Prazeres","Felipe Garcia"
42232,"William José de Souza","Amaral"
49674,"Fabricio dos Santos Silva","Fabrício"
42411,"Alexi Stival","Cuca"
49673,"Júlio César Jacobi","Júlio César"
50284,"Wilson Rodrigues de Moura Júnior","Wilson"
42501,"Luiz Rhodolfo Dini Gaioto","Rhodolfo"
50301,"Everton Cardoso da Silva","Everton"
42499,"Bruno Vieira do Nascimento","Bruno"
42500,"Fagner Conserva Lemos","Fagner"
50294,"Guilherme Milhomem Gusmão","Guilherme"
50324,"Hudson Rodrigues dos Santos","Hudson"
50328,"Marcelo Oliveira Ferreira","Marcelo Oliveira"
50398,"Paulo Henrique Carneiro Filho","Paulo Henrique"
50369,"Carlos Eduardo Marques","Carlos Eduardo"
50407,"Marco Antonio de Mattos Filho","Marquinho"
50362,"Lucas Rios Marques","Lucas"
50307,"Adilson Warken","Adilson"
50317,"David Braz de Oliveira Filho","David Braz"
50402,"Kayke Moreno de Andrade Rodrigues","Kayke"
50348,"Darío Leonardo Conca","Conca"
50459,"Leonardo Renan Simões de Lacerda","Léo"
50421,"Wesley Lopes Beltrame","Wesley"
50439,"Vilson Xavier de Meneses Junior","Vilson"
51042,"Luiz Diallison de Souza Alves","Apodi"
50427,"Ricardo Martins de Araújo","Kadu"
50408,"Breno Vinicius Rodrigues Borges","Breno"
50645,"Carlos Eduardo Santos Oliveira","Eduardo"
50856,"Henrique Adriano Buss","Henrique"
51175,"Denis Cesar de Matos","Denis"
51319,"Renato Adriano Jacó de Morais","Renato Cajá"
51299,"Emerson dos Santos Silva","Emerson Silva"
51318,"Leandro Donizete Gonçalves da Silva","Leandro Donizete"
51413,"Walter Leandro Capeloza Artune","Walter"
51415,"Roger de Carvalho","Roger Carvalho"
51705,"Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo"
55594,"Cássio Luís Rissardo","Xuxa"
51772,"Éverton Augusto de Barros Ribeiro","Éverton Ribeiro"
53731,"Ferdinando Pereira Leda","Ferdinando"
51905,"Leandro Salino do Carmo","Leandro Salino"
51700,"Thiago Carleto Alves","Thiago Carleto"
52253,"Réver Humberto Alves Araújo","Réver"
54395,"Elias Mendes Trindade","Elias"
52950,"Víctor Leandro Bagy","Victor"
54797,"Túlio Vinícius Fróes de Melo","Túlio de Melo"
53669,"Lins Lima de Britto","Lins"
52674,"Gilson Gomes do Nascimento","Gilson"
55348,"Luis Ricardo Silva Umbelino","Luis Ricardo"
60784,"Rafael de Souza Pereira","Rafael Carioca"
60787,"Willians dos Santos Santana","Willians"
60780,"Vinícius Soares Eutropio","Vinícius Eutrópio"
56102,"João Paulo da Silva","João Paulo"
51792,"Antonio Eduardo Pereira dos Santos","Kanu"
60802,"Bruno Vieira Gallo","Bruno Gallo"
60788,"Marcos Antônio da Silva Gonçalves","Marquinhos"
60969,"Patric Cabral Lalau","Patric"
61211,"Carlos Cesar Neves","Carlos Cesar"
61149,"Lucca Borges Brito","Lucca"
60859,"Jael Ferreira Vieira","Jael"
60819,"Anderson Vital da Silva","Dedé"
61188,"Gilberto Oliveira Souza Júnior","Gilberto"
62024,"Edimar Curitiba Fraga","Edimar"
60853,"Julio Daniel dos Santos Rodríguez","Julio dos Santos"
61033,"Rodrigo Eduardo Costa Marinho","Rodriguinho"
61985,"Airton Ribeiro Santos","Airton"
62009,"Fernando Camilo Farias","Camilo"
62069,"Maikon Fernando Souza Leite","Maikon Leite"
62047,"Jean Raphael Vanderlei Moreira","Jean"
62086,"Marcos Rogério Ricci Lopes","Pará"
68834,"Francisco Rithely da Silva Sousa","Rithely"
62121,"Vanderlei Farias da Silva","Vanderlei"
62128,"Walter Henrique da Silva","Walter"
62997,"João Paulo Purcino de Almeida","João Paulo"
62104,"Róbson Michael Signorini","Robinho"
63000,"Victor Ramos Ferreira","Victor Ramos"
62974,"Werley Ananias da Silva","Werley"
62130,"William Matheus da Silva","William Matheus"
63058,"Willian Roberto Farias","Willian Farias"
69165,"Pablo Nascimento Castro","Pablo"
62129,"Wellington Aparecido Martins","Wellington"
63128,"Douglas Silva Bacelar","Douglas"
63110,"Alan Luciano Ruschel","Alan Ruschel"
63158,"Moisés Lima Magalhães","Moisés"
63013,"Marcos Luis Rocha Aquino","Marcos Rocha"
68887,"Welington Pereira Rodrigues","Gum"
63172,"Paulo Marcos de Jesus Ribeiro","Paulão"
68895,"Wellington Alves da Silva","Wellington Silva"
68893,"André Luiz Barretto Silva Lima","André Lima"
63177,"Luiz Severo Júnior","Júnior Viçosa"
63219,"Luan Madson Gedeão De Paiva","Luan"
68884,"Klever Rodrigo Gomes Rufino","Klever"
68901,"Rodrigo Pimpão Viana","Rodrigo Pimpão"
68896,"Ramon de Morais Motta ","Ramon"
68911,"Diego Souza de Andrade","Diego Souza"
68690,"André Felipe Ribeiro de Souza","André"
68910,"Anselmo de Moraes","Anselmo"
63422,"Jucilei da Silva","Jucilei"
73991,"Walisson Moreira Farias Maia","Walisson Maia"
68693,"Pablo Estifer Armero","Armero"
68928,"Rafael Pires Monteiro","Rafael"
68744,"Márcio Passos de Albuquerque","Emerson Sheik"
68725,"Diego Renan de Lima Ferreira","Diego Renan"
68920,"Eduardo Pereira Rodrigues","Dudu"
68745,"Emiliano Gabriel Vecchio","Vecchio"
68925,"Leonardo Fabiano da Silva e Silva","Leonardo Silva"
68929,"Thiago Ribeiro Cardoso","Thiago Ribeiro"
68930,"Welker Marçal de Almeida","Kieza"
68932,"Renan Ribeiro","Renan Ribeiro"
68749,"Everton Heleno dos Santos","Everton Heleno"
68758,"Luiz Fernando Pereira da Silva","Fernandinho"
68784,"Sérgio Dutra Júnior","Júnior Dutra"
68938,"Giovanni Augusto Oliveira Cardoso","Giovanni Augusto"
68698,"Bruno César Pereira da Silva","Bruno Silva"
68808,"Severino do Ramo Clementino da Silva","Nino Paraíba"
68986,"Gustavo dos Santos","Gustavo Santos"
68954,"Marcos Gabriel do Nascimento","Marquinhos Gabriel"
68950,"Ronaldo Luiz Alves","Ronaldo Alves"
68987,"João Vitor Lima Gomes","João Vitor"
68953,"Leandro Damião da Silva dos Santos","Leandro Damião"
68770,"Guilherme de Aguiar Camacho","Camacho"
68822,"Rafael de Carvalho Santos","Rafael Santos"
68995,"Régis Ribeiro de Souza","Régis Souza"
68773,"Henrique Almeida Caixeta Nascentes","Henrique Almeida"
68979,"Giovanni Aparecido Adriano dos Santos","Giovanni"
68827,"Renato de Araújo Chaves Júnior","Renato Chaves"
69014,"Manoel Messias Silva Carvalho","Manoel"
69018,"Deivid Willian da Silva","Deivid"
69008,"Hélio Hermito Zampier Neto","Neto"
69010,"João Carlos Heidemann","João Carlos"
69012,"Aderbar Melo dos Santos Neto","Santos"
69036," Eduardo José Diniz Costa","Eduardo"
70323,"Jorge Amorim de Oliveira Campos","Jorginho"
69016,"Paulo Sérgio de Oliveira","Paulinho"
70222,"Sidney Aparecido Ramos da Silva","Sidão"
70581,"Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto"
69040,"Vladimir Orlando Cardoso de Araújo Filho","Vladimir"
69047,"Paulo Roberto da Silva","Paulo Roberto"
70666,"Marllon Gonçalves Jerônimo Borges","Marllon"
69160,"Gastón Nicolás Fernández","Gastón Fernández"
68807,"Sosthenes José Santos Salles","Neto Berola"
69177,"Leonardo Moreira Morais","Léo"
70742,"Luis Manuel Seijas Gunther","Seijas"
70916,"Diogo Barbosa Mendanha","Diogo Barbosa"
69138,"Pablo Felipe Teixeira","Pablo"
70696,"Fábio Luiz Carille de Araújo","Fábio Carille"
70929,"Guilherme Ferreira Pinto","Negueba"
70934,"Jackson de Souza","Jackson"
69249,"Martín Andrés Silva","Martín Silva"
70986,"Leonardo Cittadini","Léo Cittadini"
70944,"Bruno Henrique Corsini","Bruno Henrique"
69705,"Maycon Vinícius Ferreira da Cruz","Nikão"
69282,"Lucas Ramón Barrios Arioli","Lucas Barrios"
71162,"Vinícius Goes Barbosa de Souza","Vinícius"
70046,"Victor Ferraz Macedo","Victor Ferraz"
70058,"Tiago Real do Prado","Tiago Real"
71066,"Federico Mancuello","Mancuello"
71227,"Maicon Pereira Roque","Maicon"
71719,"Elton Junior Melo Ataíde","Elton"
70116,"Fellipe Ramos Ignez Bastos","Fellipe Bastos"
70009,"Romulo Borges Monteiro","Romulo"
70132,"Alan Santos da Silva","Alan Santos"
71920,"Michel Ferreira dos Santos","Michel "
71892,"Wellington do Nascimento Silva","Wellington Silva"
71389,"Alexander Baumjohann","Baumjohann"
71479,"Luis Oscar González","Lucho González"
70173,"Ederson Honorato Campos","Ederson"
71549,"Kelvin Mateus de Oliveira","Kelvin"
71572,"Gabriel Rybar Blos","Gabriel"
71927,"Diego da Silva Rosa","Diego Rosa"
71571,"Fernando Miguel Kaufmann","Fernando Miguel"
72007,"Uillian Correia Granemann","Uillian Correia"
71937,"Paulo Roberto Valoura Júnior","Juninho"
71704,"Andrés Ramiro Escobar Díaz","Manga Escobar"
72079,"Bruno Cortês Barbosa","Bruno Cortez"
71818,"Bruno Medeiros Grassi","Bruno Grassi"
71631,"Weverton Pereira da Silva","Weverton"
72150,"Fernando Galhardo Borges","Fernandinho"
71709,"Gustavo Leonardo Cuellar Gallego","Cuéllar"
71724,"Agenor Detofol","Agenor"
72168,"João Paulo Mior","João Paulo"
72490,"Frederico Burgel Xavier ","Fred"
72362,"Rodrigo Oliveira Lindoso","Rodrigo Lindoso"
72290,"Jailson Marcelino dos Santos","Jailson"
72565,"Lázaro Luan Scapolan","Luan"
72491,"Matheus Simonete Bressanelli","Bressan"
72037,"Renan de Oliveira Fonseca","Renan Fonseca"
72386,"Hernane Vidal Souza","Hernane"
72603,"William Amorim Martins de Menezes","William Menezes"
72297,"Airton Tirabassi","Airton "
72745,"Damián Ariel Escudero","Escudero"
72595,"Mauricio Kozlinski","Mauricio Kozlinski"
72893,"Eduardo Alves da Silva","Eduardo da Silva"
72376,"Cléber Janderson Pereira Reis","Cléber"
73336,"Rafael Martins Claro","Rafael Martins"
72879,"Vladimir Javier Hernández Rivero","Vladimir Hernández"
73340,"Getterson Alves dos Santos","Getterson"
73281,"Renê dos Santos Júnior","Renê Júnior"
72871,"Sherman Andrés Cárdenas Estupiñan","Cárdenas"
79437,"Roger Machado Marques","Roger Machado "
73978,"René Ferreira dos Santos","René"
73384,"Samuel Xavier Brito","Samuel Xavier"
84855,"Raul Prata","Raul Prata"
73421,"Rafael Vaz dos Santos","Rafael Vaz"
73446,"Éderson Alves Ribeiro Silva","Éderson"
73992,"Rodinei Marcelo de Almeida","Rodinei"
74140,"José Élber Pimentel da Silva","Élber"
74060,"Luiz Antonio de Souza Soares","Luiz Antonio "
74081,"Guilherme Costa Machado Silveira","Guilherme Costa"
74213,"Alejandro Abraham Guerra Morales","Alejandro Guerra"
77967,"Eugenio Esteban Mena Reveco","Mena"
74061,"Roberto Junior Fernández Torres","Gatito Fernández"
77529,"Leandro da Silva","Leandro Silva"
74271,"Edigar Junio Teixeira Lima ","Edigar Junio"
77544,"Jorge de Moura Xavier","Jorginho"
75295,"José Paolo Guerrero Gonzales","Paolo Guerrero"
77500,"Yago Fernando da Silva","Yago"
78117,"Everaldo Stum","Everaldo"
77959,"Jonathan Copete Valencia","Copete"
77556,"Bruno Brígido de Oliveira","Bruno Brígido"
78578,"Paulo Luiz Beraldo Santos","Paulinho"
78086,"César Bernardo Dutra","César"
77551,"Thomás Jaguaribe Bedinelli","Thomás"
78407,"Douglas Ricardo Grolli","Douglas Grolli"
78445,"Renê Rodrigues Martins","Renê"
78371,"Miller Alejandro Bolaños Reasco","Miller Bolaños"
78077,"Madson Ferreira dos Santos","Madson"
78248,"Gustavo Henrique Vernes","Gustavo Henrique"
78548,"Jean Mota Oliveira de Sousa","Jean Mota"
78495,"Marcos de Paula Dutra","Marcos"
78464,"Fábio Farroco Braga","Fábio Braga"
78850,"Reinaldo Manoel da Silva","Reinaldo"
78715,"Ramiro Moschen Benetti","Ramiro"
78478,"Willian Souza Arão da Silva","Willian Arão"
78497,"Arnaldo Manoel de Almeida","Arnaldo"
78632,"Bryan Silva Garcia","Bryan"
78840,"Pedro Henrique de Castro Silva","Pedro Castro"
78605,"Gabriel Girotto Franco","Gabriel"
78584,"Douglas Alan Schuck Friedrich","Douglas Friedrich"
78855,"Thiago dos Santos","Thiago Santos"
78968,"Leandro Marcos Pereira","Leandro Pereira"
78839,"Gabriel Bordinhão Gasparotto","Gabriel Gasparotto"
78991,"Moisés Ribeiro Santos","Moisés Ribeiro"
79035,"Luiz Felipe do Nascimento dos Santos","Luiz Felipe"
79042,"Tiago Pagnussat","Tiago "
78897,"Marinaldo dos Santos Oliveira","Naldo"
79041,"Antonio Thomaz Santos de Barros","Thomaz"
78994,"Eduardo Henrique da Silva","Eduardo Henrique"
78856,"Marcos Antônio Almeida Silva","Marcão Silva"
79334,"Ricardo César Dantas da Silva","Ricardo Silva"
79193,"Jucimar Lima Pacheco","Abuda"
78891,"Petros Mateus dos Santos Araújo","Petros"
79066,"Alex Roberto Santana Rafael ","Alex Muralha"
79343,"Dorival Guidoni Júnior","Doriva"
79578,"Luiz Ricardo Alves","Sassá"
79702,"Antônio Carlos Cunha Capocasali Júnior","Antônio Carlos "
79892,"Odair Souza ","Nenén"
79887,"Fabiano Leissmann","Fabiano"
80129,"Jadson Alves dos Santos","Jadson"
80124,"Matheus Mancini","Matheus Mancini"
79701,"Lucas Silva Borges","Lucas Silva"
80140,"Nadson da Silva Almeida","Nadson"
80281,"Cleberson Martins de Souza","Cleberson"
80286,"Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto"
80189,"Lucas Fonseca da Silva","Lucas Fonseca"
80188,"Marcos Junio Lima dos Santos","Marcos Junior"
79973,"Helton Brant Aleixo Leite","Helton Leite"
80196,"Glaybson Yago Souza Lisboa","Yago Pikachu"
80583,"Lucas Rafael Araujo Lima","Lucas Lima"
80313,"Gilberto Moraes Júnior","Gilberto "
80318,"Ezequiel Jacinto de Biasi","Ezequiel "
80337,"Arthur Caíke do Nascimento Cruz","Arthur "
81150,"Mayke Rocha de Oliveira","Mayke"
80373,"Wanderson Carvalho de Oliveira","Wanderson"
80537,"Michael Vinicius Silva de Morais","Michael"
80363,"Alejandro Ariel Cabral","Ariel Cabral"
80370,"Edson Felipe da Cruz","Edson"
80692,"Luan Garcia Teixeira","Luan"
80853,"Pedro Tonon Geromel","Pedro Geromel"
80944,"Johnath Marlone Azevedo da Silva","Marlone"
81094,"Vitor Prada Macaneiro","Vitor Prada"
81770,"Clayton Silveira da Silva","Clayton"
81684,"Andrés Lorenzo Ríos","Andrés Ríos"
81682,"Juan Ramón Cazares Sevillano","Cazares"
81219,"Thallyson Augusto Tavares Dias","Thallyson"
81241,"Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez"
81845,"Alisson Euler de Freitas Castro","Alisson"
81798,"Rosicley Pereira da Silva","Rossi"
81903,"Wellington Simião","Wellington Simião"
81898,"Osman de Menezes Venâncio Junior","Osman"
82411,"Christian Alberto Cueva Bravo","Cueva"
82613,"Alan Henrique Costa","Alan Costa"
81223,"Frickson Rafael  Erazo Vivero","Erazo"
82455,"José Rafael Vivian","Zé Rafael "
81905,"José Henrique da Silva Dourado","Henrique Dourado"
82469,"Douglas Coutinho Gomes de Souza","Douglas Coutinho "
82463,"Otávio Henrique Passos Santos","Otávio "
82634,"Matheus Galdezani","Matheus Galdezani"
82647,"Régis Augusto Salmazzo","Régis"
82644,"Leonardo Artur de Melo","Léo Artur"
82567,"Moisés Wolschick","Moisés"
82791,"Toshiya Tojo","Toshi"
84382,"Danilo Carvalho Barcelos","Danilo Barcelos"
82817,"Tomas Almino Bastos Silva","Tomas Bastos"
82754,"André Andrade de Castro","André Castro"
83004,"Rómulo Otero Vásquez","Otero"
82515,"Reginaldo Manoel da Silva Júnior","Reginaldo"
83522,"Fagner Ironi Daponte","Fagner Alemão"
82787,"Tagueu Tadjo Diederrick Joel","Joel"
82773,"Gilvan Souza Correa","Gilvan"
82943,"Matheus Antunes Ribeiro","Matheus Ribeiro"
83433,"Patrick Bezerra do Nascimento","Patrick"
83048,"Rafael Thyere Albuquerque Marques","Rafael Thyere"
83615,"Thiago Martins Bueno","Thiago Martins"
83772,"Neilton Meira Mestzk","Neilton"
83683,"Andrei Girotto","Andrei Girotto"
83786,"Hueglo Neris dos Santos","Neris"
86410,"Victor Luis Chuab Zamblauskas","Victor Luis"
83817,"Clayson Henrique da Silva Vieira","Clayson"
84558,"Lucas Daniel Romero","Lucas Romero"
84554,"Lucas Cavalcante Silva Afonso","Lucão"
84585,"Agustín Lionel Allione","Allione"
84718,"Denilson Pereira Junior","Denilson"
84530,"Maximiliano Rodríguez Maeso","Maxi Rodríguez"
84313,"Antônio Filipe Gonzaga de Aquino","Feijão"
84691,"Judson Silva Tavares","Judson"
84703,"Nilton Soares Rodrigues","Niltinho"
84847,"Luan Peres Petroni","Luan Peres "
90366,"Luiz Fernando Ferreira Maximiliano","Luiz Fernando "
84851,"Lucas Cândido Silva","Lucas Cândido"
84761,"Claudinei dos Santos Oliveira","Claudinei Oliveira"
84848,"Erik Nascimento Lima","Erik"
38001,"Anderson Pedro Nunes da Silva Campos","Anderson"
37919,"Luis Fabiano Clemente","Luis Fabiano"
37934,"Roger de Oliveira Bernardo","Roger Bernardo"
37984,"Mário Lúcio Duarte Costa","Aranha"
37851,"Maicosuel Reginaldo de Matos","Maicosuel"
38067,"Danilo Gabriel de Andrade","Danilo"
38062,"Diego Alfredo Lugano Moreno","Lugano"
38021,"Wendel Geraldo Maurício e Silva","Wendel"
38100,"Severino dos Ramos Durval da Silva","Durval"
83869,"Diego Barbosa Tavares","Diego Tavares"
38140,"Fernando Buttenbender Prass","Fernando Prass"
83263,"Yuri Lima Lara","Yuri"
38138,"João Alves de Assis Silva","Jô"
38150,"Marcos Vicente dos Santos","Marquinhos"
38109,"Jefferson de Oliveira Galvão","Jefferson"
38162,"Frederico Chaves Guedes","Fred"
38156,"Artur Guilherme Moraes Gusmão","Artur Moraes"
85300,"Orlando Enrique Berrío Meléndez","Berrío "
84861,"Alex da Silva","Alex Silva"
84896,"Lucas Otávio Veiga Lopes","Lucas Otávio "
84926,"Yago Henrique Severino dos Santos","Yago"
84925,"Elder Santana Conceição","Elder Santana"
95332,"Marcio Antonio de Sousa Júnior","Marcinho"
84893,"Henrique Silva Milagres","Henrique"
84993,"Fabrício Santos de Jesus","Fabrício Baiano"
84917,"Jeferson de Araújo de Carvalho","Jeferson"
73515,"Gabriel Santana Pinto","Gabriel"
73513,"Francinilson Santos Meireles","Maranhão"
84890,"Elosman Euller Silva Cavalcanti","Euller "
73517,"Douglas Moreira Pires","Douglas Pires"
84927,"Raphael Guimarães de Paula","Dodô"
86143,"Wanderson Santos Pereira","Wanderson"
73635,"Rildo de Andrade Felicissimo","Rildo"
73540,"José Rogério de Oliveira","Rogério"
73649,"Lucas David Pratto","Lucas Pratto"
73721,"Marcos Vinícius de Jesus Araújo","Marcos Vinícius"
73800,"Rodrigo Caio Roquette Russo","Rodrigo Caio"
86227,"Andrew Erik Feitosa","Morato"
73876,"Jomar Herculano Lourenço","Jomar"
73869,"John Lennon Silva Santos","Lennon"
73974,"Alison Lopes Ferreira","Alison"
95483,"Luiz Felipe Schwartz Dal Piva ","Luiz Felipe"
95335,"Matheus Sousa de Jesus","Matheus Jesus"
86411,"Breno Gonçalves Lopes","Breno Lopes"
95539,"Fabrício Silva Costa","Fabrício"
95638,"Marcelo da Conceição Benevenuto Malaquias","Marcelo"
95542,"Edilson Borba de Aquino","Ourinho"
95543,"Renan Gorne Silva","Renan Gorne"
95651,"Filipe Rodrigues de Souza Santos","Filipinho"
86486,"Milton Mendes","Milton Mendes"
95770,"Victor Hugo Santana Carvalho","Vitinho"
95662,"Lucas Kal Schenfeld Progioli","Lucas Kal"
86508,"Jandrei Chitolina Carniel","Jandrei"
86485,"Marcos da Silva França","Keno"
95780,"José Ricardo Mannarino","Zé Ricardo"
73619,"Wellington Silva Sanches Aguiar","Wellington Nem"
95660,"Felipe Araruna Hoffman","Araruna"
95738,"Miguel Ángel Trauco Saavedra","Trauco"
86519,"Everton Felipe de Oliveira Silva","Everton Felipe"
73896,"Geuvânio Santos Silva","Geuvânio"
89694,"James Dean Araújo de Lima","James Dean"
95831,"Caique da Silva Maria","Caíque"
95843,"Sander Henrique Bortolotto","Sander"
95837,"Fabián Ariel Noguera","Fabián Noguera"
95820,"Leonardo Rodrigues dos Santos","Léo Santos"
95794,"Nathanael Ananias da Silva","Nathan"
95798,"Gustavo Costa da Silva Machado","Gustavo Bochecha"
96055,"Yan Medeiros Sasse","Yan"
95849,"Felipe Gustavo Domingos","Felipe"
95876,"Douglas Luiz Soares de Paulo","Douglas"
95978,"Tyroane Joe Sandows","Ty Sandows"
89815,"Gustavo Henrique Ferrareis","Gustavo Ferrareis"
95936,"Daniel Cerântula Fuzato","Daniel Fuzato"
96089,"Luiz Filipe da Rosa Machado","Machado"
89696,"Romulo dos Santos de Souza","Romulo"
96340,"Vinicius Moreira de Lima","Lima"
89695,"Iury Lirio Freitas de Castilho","Iury"
89885,"Leandro Alves de Carvalho","Leandrinho"
96328,"Matheus Oliveira Santos","Matheus Oliveira"
96349,"Geovane Henrique Pereira de Souza","Geovane"
89871,"Leonardo Pisculichi","Pisculichi"
89924,"Bruno Edgar Silva Almeida","Bruno Ramires"
96411,"Cassiano Silva dos Santos","Cassiano"
89930,"Andrigo Oliveira de Araujo","Andrigo"
89898,"Róger Krug Guedes","Róger Guedes"
96464,"Mauricio Tomazi Pinheiro","Mauricio"
96804,"Vitor da Silva Vieira","Vitor"
96524,"Victor Lindenberg Vieira","Victor Lindenberg"
90061,"Bruno de Jesus Pacheco","Bruno Pacheco"
89976,"Gerferson Cerqueira Teles","Geferson"
96965,"Leonardo Thomas Lopes","Léo Lopes"
96433,"Ralph Machado Dias","Ralph"
90031,"John Stiven Mendoza Valencia","Mendoza"
96591,"Renan Augusto Lodi dos Santos","Renan Lodi"
90285,"Bruno Henrique Pinto","Bruno Henrique"
90302,"Pedro Rocha Neves","Pedro Rocha"
96832,"Rodrigo Figueiredo de Carvalho","Rodrigo Figueiredo"
90290,"Jaílson Marques Siqueira","Jailson"
96831,"Carlos Moisés de Lima","Carlinhos"
96870,"Emerson Aparecido Leite de Souza Junior","Emerson"
96966,"Arthur Gomes Lourenço","Arthur Gomes"
97228,"Carlos Vitor da Silva Nascimento","Santarém"
90309,"David Correa da Fonseca","David"
97138,"Renan Silva Bragança","Dida"
90303,"Lincoln Henrique Oliveira dos Santos","Lincoln"
97315,"Guilherme Mantuan","Mantuan"
97322,"Gabriel Vinícius de Oliveira Furtado","Gabriel Furtado"
95127,"Nicolas Vichiatto da Silva","Nicolas"
90335,"Jeferson Carvalho dos Santos","Jeferson Negueba"
97349,"Daniel dos Santos Penha","Daniel"
97444,"Julio Cezar Rusch","Julio Rusch"
99257,"João Erick Marques da Silva","João Erick"
97445,"Matheus Felipe Camargo Iacovelli","Matheus Iacovelli"
97352,"Luiz Henrique Pachu Lira","Pachu"
97452,"Marcos Vinícius Silva Rocha Calazans","Marcos Calazans"
97502,"Yilmar Alexis Filigrana Possu","Filigrana"
97443,"Romercio Pereira da Conceição","Romercio"
97527,"Matheus Alessandro dos Santos Pereira","Matheus Alessandro"
97528,"Wesley Frazan Bernardo","Frazan"
97536,"Bryan Borges Mascarenhas","Bryan"
97520,"Shaylon Kallyson Cardoso","Shaylon"
97532,"Jean Paul Jesús Pineda Cortés","Jean Pineda"
97537,"Gabriel Dal Toé Busanello","Busanello"
97535,"Hiago Correa Silveira Cena","Hiago"
97540,"Vinícius Szeuczuk Ribeiro","Vinícius Guarapuava"
97645,"Thiago Couto Wenceslau","Thiago Couto"
97538,"Marcio Marcelo Leite Júnior","Marcio"
97653,"Murilo Cerqueira Paim","Murilo"
97546,"Marco Túlio Oliveira Lemos","Marco Túlio"
97680,"Yan Oliveira Lima","Yan"
97856,"Lucas de Souza Ventura","Nonoca"
97769,"Yuri Jonathan Vitor Coelho","Yuri"
