"id","rodada","clube_casa_id","clube_visitante_id","placar_oficial_mandante","placar_oficial_visitante"
180225,36,262,288,1,1
180231,36,264,284,1,0
180241,36,265,293,1,2
180234,36,277,276,0,1
180240,36,283,290,2,1
180242,36,285,282,2,1
180227,36,292,266,2,2
180238,36,294,275,2,0
180244,36,315,263,2,0
180243,36,316,287,2,0
180166,37,262,287,4,0
180182,37,265,284,1,0
180170,37,266,264,5,2
180175,37,276,316,1,1
180177,37,277,263,2,0
180181,37,282,294,1,2
180186,37,285,275,3,1
180191,37,288,292,2,2
180179,37,293,290,1,0
180194,37,315,283,1,1
180141,38,263,282,0,0
180148,38,264,288,2,1
180149,38,275,293,1,1
180152,38,283,266,2,1
180158,38,284,262,1,1
180154,38,287,277,0,1
180163,38,290,315,4,2
180147,38,292,276,1,0
180151,38,294,265,3,2
180160,38,316,285,1,2
