"id","rodada","clube_casa_id","clube_visitante_id","placar_oficial_mandante","placar_oficial_visitante"
201311,7,263,287,1.0,1.0
201313,7,266,284,1.0,1.0
201317,7,275,264,1.0,0.0
201315,7,276,293,1.0,2.0
201319,7,282,283,2.0,3.0
201320,7,285,327,3.0,1.0
201322,7,294,292,3.0,2.0
201326,7,303,315,2.0,1.0
201324,7,316,262,1.0,0.0
201328,7,344,277,0.0,2.0
201332,8,263,327,3.0,1.0
201334,8,266,264,1.0,0.0
201335,8,276,287,2.0,0.0
201336,8,277,292,2.0,0.0
201339,8,283,262,0.0,1.0
201341,8,285,282,2.0,0.0
201344,8,294,275,2.0,2.0
201348,8,303,293,3.0,2.0
201345,8,315,284,3.0,3.0
201350,8,344,316,1.0,0.0
201354,9,262,276,2.0,2.0
201357,9,264,263,3.0,1.0
201359,9,275,344,3.0,1.0
201360,9,282,303,3.0,0.0
201362,9,284,283,2.0,0.0
201352,9,287,315,1.0,2.0
201369,9,292,266,2.0,1.0
201364,9,293,277,1.0,0.0
201366,9,316,285,3.0,2.0
201367,9,327,294,2.0,1.0
201370,10,263,316,0.0,0.0
201371,10,266,277,2.0,4.0
201375,10,275,327,2.0,0.0
201373,10,276,292,0.0,0.0
201377,10,282,264,2.0,1.0
201379,10,284,287,1.0,2.0
201380,10,294,285,1.0,1.0
201384,10,303,283,0.0,4.0
201382,10,315,293,0.0,0.0
201385,10,344,262,0.0,1.0
201388,11,262,266,1.0,2.0
201389,11,264,344,2.0,1.0
201390,11,277,276,3.0,0.0
201392,11,283,275,2.0,1.0
201394,11,285,263,2.0,3.0
201387,11,287,303,1.0,1.0
201400,11,292,315,5.0,1.0
201396,11,293,284,2.0,0.0
201399,11,316,294,0.0,0.0
201402,11,327,282,0.0,1.0
201405,12,262,285,1.0,0.0
201409,12,275,316,4.0,0.0
201407,12,276,266,2.0,1.0
201410,12,282,263,5.0,3.0
201413,12,284,277,3.0,2.0
201404,12,287,292,3.0,2.0
201415,12,294,293,1.0,0.0
201416,12,315,283,3.0,2.0
201418,12,327,264,0.0,2.0
201419,12,344,303,0.0,3.0
201429,13,263,344,2.0,1.0
201432,13,264,262,4.0,0.0
201431,13,266,294,0.0,0.0
201434,13,277,315,3.0,0.0
201435,13,283,287,2.0,2.0
201437,13,285,284,0.0,1.0
201450,13,292,275,1.0,3.0
201447,13,293,327,1.0,0.0
201448,13,303,276,1.0,0.0
201445,13,316,282,1.0,1.0
201453,14,262,282,2.0,0.0
201456,14,275,277,1.0,1.0
201454,14,276,327,3.0,0.0
201457,14,283,293,0.0,3.0
201458,14,284,316,2.0,1.0
201452,14,287,266,0.0,0.0
201459,14,294,263,0.0,0.0
201461,14,303,292,2.0,1.0
201460,14,315,264,0.0,2.0
201463,14,344,285,1.0,0.0
201464,15,263,262,3.0,3.0
201467,15,264,276,1.0,1.0
201466,15,266,283,2.0,0.0
201472,15,277,303,3.0,1.0
201473,15,282,294,2.0,1.0
201613,15,285,275,0.0,1.0
201480,15,292,284,4.0,2.0
201475,15,293,287,1.0,1.0
201477,15,316,315,1.0,1.0
201478,15,327,344,0.0,3.0
201488,16,262,327,2.0,1.0
201490,16,264,316,1.0,1.0
201580,16,275,282,0.0,1.0
201495,16,283,292,1.0,2.0
201496,16,284,276,1.0,0.0
201481,16,287,277,2.0,3.0
201497,16,293,266,1.0,0.0
201500,16,303,285,2.0,2.0
201499,16,315,263,2.0,1.0
201502,16,344,294,0.0,1.0
201504,17,263,275,3.0,1.0
201505,17,266,303,3.0,0.0
201507,17,276,315,2.0,2.0
201509,17,277,283,2.0,0.0
201511,17,282,344,3.0,0.0
201512,17,285,264,0.0,1.0
201520,17,292,293,2.0,0.0
201514,17,294,262,0.0,2.0
201517,17,316,287,1.0,0.0
201518,17,327,284,0.0,0.0
201526,18,266,316,3.0,2.0
201528,18,276,282,1.0,2.0
201530,18,277,262,0.0,0.0
201531,18,283,285,4.0,2.0
201532,18,284,344,0.0,0.0
201522,18,287,294,3.0,1.0
201539,18,292,327,1.0,1.0
201534,18,293,264,2.0,0.0
201537,18,303,263,2.0,0.0
201536,18,315,275,1.0,1.0
201541,19,262,293,1.0,0.0
201523,19,263,284,2.0,1.0
201542,19,264,283,1.0,1.0
201545,19,275,287,2.0,1.0
201546,19,282,315,3.0,1.0
201548,19,285,266,2.0,2.0
201550,19,294,303,3.0,1.0
201552,19,316,292,1.0,1.0
201554,19,327,277,1.0,0.0
201555,19,344,276,1.0,2.0
201277,20,266,327,1.0,0.0
201278,20,276,263,0.0,1.0
201279,20,277,282,3.0,0.0
203411,20,283,294,2.0,2.0
201281,20,284,264,3.0,0.0
201275,20,287,344,2.0,2.0
201285,20,292,262,1.0,0.0
201282,20,293,275,0.0,1.0
201284,20,303,316,2.0,0.0
201283,20,315,285,1.0,0.0
201287,21,262,284,2.0,1.0
201286,21,263,292,3.0,0.0
201288,21,264,287,2.0,1.0
201289,21,275,303,2.0,2.0
201290,21,282,293,1.0,0.0
201291,21,285,276,1.0,1.0
201292,21,294,277,2.0,1.0
201293,21,316,283,1.0,2.0
201294,21,327,315,1.0,2.0
201296,21,344,266,0.0,1.0
201302,22,266,275,0.0,2.0
201305,22,276,294,0.0,0.0
201307,22,277,316,0.0,1.0
201310,22,283,344,2.0,0.0
201312,22,284,282,1.0,1.0
201299,22,287,327,2.0,1.0
201321,22,292,285,1.0,1.0
201314,22,293,263,1.0,0.0
201318,22,303,264,2.0,0.0
201316,22,315,262,1.0,3.0
201325,23,262,303,2.0,1.0
201323,23,263,266,1.0,0.0
201327,23,264,292,3.0,0.0
201329,23,275,276,2.0,1.0
201330,23,282,287,2.0,1.0
201331,23,285,277,2.0,1.0
201333,23,294,284,4.0,0.0
201338,23,316,293,1.0,0.0
201340,23,327,283,0.0,2.0
201337,23,344,315,2.0,2.0
201343,24,266,282,4.0,2.0
201346,24,276,316,3.0,1.0
201347,24,277,264,2.0,1.0
201349,24,283,263,0.0,2.0
201351,24,284,275,0.0,0.0
201342,24,287,262,1.0,2.0
201358,24,292,344,5.0,3.0
201353,24,293,285,2.0,1.0
201356,24,303,327,1.0,1.0
201355,24,315,294,1.0,0.0
201361,25,263,277,0.0,1.0
201363,25,266,315,1.0,2.0
201368,25,275,262,1.0,1.0
201365,25,276,283,1.0,0.0
201372,25,282,292,1.0,0.0
201374,25,285,287,0.0,1.0
201376,25,294,264,1.0,1.0
201381,25,303,284,3.0,0.0
201378,25,316,327,2.0,2.0
201383,25,344,293,1.0,0.0
201391,26,262,316,2.0,0.0
201393,26,264,275,0.0,2.0
201395,26,277,344,3.0,2.0
201397,26,283,282,1.0,1.0
201398,26,284,266,0.0,1.0
201386,26,287,263,0.0,1.0
201408,26,292,294,0.0,1.0
201401,26,293,276,1.0,0.0
201403,26,315,303,2.0,2.0
201406,26,327,285,1.0,0.0
201412,27,262,283,2.0,1.0
201414,27,264,266,0.0,1.0
201417,27,275,294,2.0,1.0
201420,27,282,285,3.0,1.0
201421,27,284,315,1.0,0.0
201411,27,287,276,2.0,0.0
201425,27,292,277,1.0,0.0
201422,27,293,303,3.0,0.0
201423,27,316,344,3.0,1.0
201424,27,327,263,1.0,0.0
201426,28,263,264,2.0,0.0
201427,28,266,292,3.0,1.0
201428,28,276,262,0.0,0.0
201430,28,277,293,2.0,0.0
201433,28,283,284,1.0,0.0
201436,28,285,316,1.0,0.0
201438,28,294,327,3.0,0.0
201440,28,303,282,1.0,2.0
201439,28,315,287,1.0,4.0
201441,28,344,275,2.0,3.0
201444,29,262,344,3.0,0.0
201446,29,264,282,0.0,0.0
201449,29,277,266,2.0,1.0
201451,29,283,303,2.0,0.0
201455,29,285,294,1.0,0.0
201442,29,287,284,0.0,1.0
201469,29,292,276,1.0,1.0
201465,29,293,315,3.0,1.0
201462,29,316,263,0.0,1.0
201468,29,327,275,0.0,2.0
201470,30,263,285,1.0,0.0
201471,30,266,262,1.0,2.0
201476,30,275,283,0.0,0.0
201474,30,276,277,0.0,1.0
201479,30,282,327,3.0,0.0
201482,30,284,293,1.0,0.0
201483,30,294,316,0.0,0.0
201485,30,303,287,2.0,0.0
201484,30,315,292,3.0,0.0
201486,30,344,264,2.0,4.0
201487,31,263,282,3.0,2.0
201491,31,264,327,2.0,0.0
201489,31,266,276,1.0,2.0
201492,31,277,284,1.0,1.0
201494,31,283,315,0.0,0.0
201498,31,285,262,2.0,1.0
201508,31,292,287,1.0,0.0
201501,31,293,294,2.0,0.0
201506,31,303,344,3.0,0.0
201503,31,316,275,1.0,2.0
201513,32,262,264,2.0,2.0
201516,32,275,292,2.0,1.0
201515,32,276,303,2.0,0.0
201519,32,282,316,3.0,0.0
201521,32,284,285,0.0,0.0
201510,32,287,283,0.0,1.0
201524,32,294,266,1.0,1.0
201525,32,315,277,0.0,1.0
201527,32,327,293,1.0,0.0
201529,32,344,263,0.0,1.0
201533,33,263,294,0.0,0.0
201538,33,264,315,1.0,1.0
201535,33,266,287,2.0,2.0
201540,33,277,275,1.0,0.0
201543,33,282,262,2.0,2.0
201544,33,285,344,1.0,1.0
201553,33,292,303,1.0,0.0
201547,33,293,283,1.0,0.0
201549,33,316,284,0.0,0.0
201551,33,327,276,1.0,0.0
201557,34,262,263,0.0,0.0
201559,34,275,285,1.0,0.0
201558,34,276,264,4.0,0.0
201560,34,283,266,4.0,2.0
201561,34,284,292,0.0,3.0
201556,34,287,293,3.0,2.0
201562,34,294,282,2.0,0.0
201564,34,303,277,1.0,2.0
201563,34,315,316,1.0,0.0
201565,34,344,327,1.0,0.0
201567,35,263,315,0.0,2.0
201568,35,266,293,1.0,1.0
201569,35,276,284,1.0,1.0
201570,35,277,287,3.0,2.0
201571,35,282,275,1.0,1.0
201572,35,285,303,1.0,1.0
201576,35,292,283,0.0,1.0
201573,35,294,344,1.0,0.0
201574,35,316,264,1.0,1.0
201575,35,327,262,0.0,1.0
201578,36,262,294,2.0,2.0
201579,36,264,285,1.0,0.0
201581,36,275,263,1.0,0.0
201582,36,283,277,2.0,2.0
201583,36,284,327,3.0,0.0
201577,36,287,316,4.0,0.0
201584,36,293,292,2.0,0.0
201586,36,303,266,1.0,0.0
201585,36,315,276,2.0,0.0
201587,36,344,282,3.0,3.0
201589,37,262,277,2.0,0.0
201588,37,263,303,1.0,1.0
201590,37,264,293,0.0,0.0
201591,37,275,315,1.0,0.0
201592,37,282,276,1.0,2.0
201593,37,285,283,1.0,0.0
201594,37,294,287,0.0,1.0
201595,37,316,266,1.0,0.0
201596,37,327,292,2.0,2.0
201597,37,344,284,5.0,1.0
201599,38,266,285,1.0,1.0
201600,38,276,344,5.0,0.0
201601,38,277,327,1.0,0.0
201602,38,283,264,3.0,2.0
201603,38,284,263,0.0,1.0
201598,38,287,275,1.0,2.0
201607,38,292,316,2.0,0.0
201604,38,293,262,0.0,0.0
201606,38,303,294,2.0,0.0
201605,38,315,282,"",""
